discount_text,coupon_code,discount_value,week1_probability,week2_probability,week3_probability,week4_probability,color
₹10,000 Discount,OASIS10K,10000,25,30,20,15,#FF6B6B
₹15,000 Discount,OASIS15K,15000,25,25,25,25,#4ECDC4
₹20,000 Discount,OASIS20K,20000,20,20,25,30,#45B7D1
₹50,000 Discount,OASIS50K,50000,15,15,20,25,#96CEB4
₹1 Lakh Discount,OASIS1L,100000,10,10,10,15,#FFEAA7
Free IVF Treatment,OASISIVF,0,5,5,10,15,#DDA0DD
